run_number	IntLumEndcapEE	startTime	endTime	2*sqrt(BPR_PRB*BER_PRB)*cos(0.022/2)*1000.	BER_PRB*1000	BPR_PRB*1000	S_R3O_BI_DCCT_current	E_R3O_BI_DCCT_current	S_R4O_BI_DCCT_current	E_R4O_BI_DCCT_current
55224	343.387	2018-04-25 07:36:30	2018-04-25 07:54:15	3564.4512247441	1782.3023858474	1782.3644996098	536.607922792	471.55555799	554.696511777	493.830534046
55225	680.257	2018-04-25 07:56:50	2018-04-25 08:35:16	3564.4512247441	1782.3023858474	1782.3644996098	462.586023708	360.68150044	483.374059802	371.642993864
55226	1127.48	2018-04-25 08:44:23	2018-04-25 09:45:11	3564.39035497	1782.1848235775	1782.4211957187	563.53840094	357.935759766	586.708381407	391.768147025
55227	1075.18	2018-04-25 09:51:53	2018-04-25 10:50:15	3564.5120995287	1782.2457002003	1782.4820710201	560.631287384	353.463211172	541.771871091	362.95130672
55229	1004.19	2018-04-25 11:31:51	2018-04-25 11:48:21	3564.3945410881	1782.2457002003	1782.3644996098	486.249996902	432.128338242	505.565140758	449.257384741
55230	990.755	2018-04-25 12:35:47	2018-04-25 13:30:17	3564.3903535445	1782.3023858474	1782.3036241864	532.644310204	364.743601922	544.760378067	372.944609873
55231	558.837	2018-04-25 13:36:44	2018-04-25 14:06:19	3564.5079159842	1782.3023858474	1782.4211957187	534.69292323	435.797805072	541.82867832	441.854555624
55233	1132.98	2018-04-26 05:37:20	2018-04-26 06:36:26	3571.2086500348	1785.6507376453	1785.7739835328	540.38370399	343.322397568	556.608196777	346.091673753
55234	1090.11	2018-04-26 06:44:43	2018-04-26 07:40:55	3571.2611528661	1785.7074205171	1785.7698050871	545.116934934	353.11780956	562.999925636	362.322100756
55235	1118.29	2018-04-26 07:48:01	2018-04-26 08:46:29	3571.1477770661	1785.5898636132	1785.7739835328	549.49687875	351.888309512	556.269184596	348.501765217
55236	1231.34	2018-04-26 08:54:32	2018-04-26 09:51:58	3571.3220242151	1785.6507376453	1785.8873702852	549.264356098	377.530226298	551.332851712	311.11707471
